,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Financials,Banks,340263000,HA,8397,JPY,FIN,L,ISS,2014-11-14
2014/12/31,Financials,Banks,52046000,HA,8397,JPY,FIN,L,ISS,2014-11-14
2014/12/31,Financials,Banks,13748000,HA,8397,JPY,FIN,L,ISS,2014-11-14
2014/12/31,Financials,Securities  and  Commodity Futures,1029171500,TT,8595,JPY,FIN,S,Venture,2014-11-21
2014/12/31,Financials,Securities  and  Commodity Futures,164934000,TT,8595,JPY,FIN,S,Venture,2014-11-21
2014/12/31,Financials,Securities  and  Commodity Futures,42899500,TT,8595,JPY,FIN,S,Venture,2014-11-21
2014/12/31,Financials,Securities  and  Commodity Futures,685114800,Adv,8601,JPY,FIN,L,Blackfield,2014-12-19
2014/12/31,Financials,Securities  and  Commodity Futures,108974000,Adv,8601,JPY,FIN,L,Blackfield,2014-12-19
2014/12/31,Financials,Securities  and  Commodity Futures,28428000,Adv,8601,JPY,FIN,L,Blackfield,2014-12-19
2014/12/31,Financials,Securities  and  Commodity Futures,5452649020,Adv,8604,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Securities  and  Commodity Futures,851568760,Adv,8604,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Securities  and  Commodity Futures,219414580,Adv,8604,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Other Financing Business,617680800,Adv,8697,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Other Financing Business,97274800,Adv,8697,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Other Financing Business,26374800,Adv,8697,JPY,FIN,L,Blackfield,2014-11-04
2014/12/31,Financials,Real Estate,1341060000,HA,8801,JPY,HR,L,Real Estate,2014-06-17
2014/12/31,Financials,Real Estate,218085000,HA,8801,JPY,HR,L,Real Estate,2014-06-17
2014/12/31,Financials,Real Estate,55335000,HA,8801,JPY,HR,L,Real Estate,2014-06-17
2014/12/31,Financials,Real Estate,983867500,HA,8802,JPY,HR,L,Real Estate,2014-06-11
2014/12/31,Financials,Real Estate,163552000,HA,8802,JPY,HR,L,Real Estate,2014-06-11
2014/12/31,Financials,Real Estate,43443500,HA,8802,JPY,HR,L,Real Estate,2014-06-11
2014/12/31,Financials,Real Estate,213145320,HA,8841,JPY,TailSens,L,EF,2008-09-19
2014/12/31,Financials,Real Estate,51918680,HA,8841,JPY,TailSens,L,EF,2008-09-19
2014/12/31,Financials,Real Estate,32912000,HA,8841,JPY,TailSens,L,EF,2008-09-19
2014/12/31,Financials,Real Estate,829547600,HA,8963,JPY,Tail,L,REIT,2014-06-24
2014/12/31,Financials,Real Estate,148737100,HA,8963,JPY,Tail,L,REIT,2014-06-24
2014/12/31,Financials,Real Estate,40491500,HA,8963,JPY,Tail,L,REIT,2014-06-24
2014/12/31,Financials,Real Estate,514240200,HA,8966,JPY,Tail,L,S-Event,2014-11-18
2014/12/31,Financials,Real Estate,83483100,HA,8966,JPY,Tail,L,S-Event,2014-11-18
2014/12/31,Financials,Real Estate,20993400,HA,8966,JPY,Tail,L,S-Event,2014-11-18
2014/12/31,Financials,Real Estate,104083200,HA,8975,JPY,Tail,L,REIT,2014-11-27
2014/12/31,Financials,Real Estate,16848000,HA,8975,JPY,Tail,L,REIT,2014-11-27
2014/12/31,Financials,Real Estate,4399200,HA,8975,JPY,Tail,L,REIT,2014-11-27
2014/12/31,Industrials,Land Transportation,2188607700,HA,9020,JPY,TailRR,L,Tourist,2014-06-11
2014/12/31,Industrials,Land Transportation,350323200,HA,9020,JPY,TailRR,L,Tourist,2014-06-11
2014/12/31,Industrials,Land Transportation,93054600,HA,9020,JPY,TailRR,L,Tourist,2014-06-11
2014/12/31,Industrials,Land Transportation,1378740600,HA,9024,JPY,Tail,S,Railways,2014-09-02
2014/12/31,Industrials,Land Transportation,231557400,HA,9024,JPY,Tail,S,Railways,2014-09-02
